# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
300|El Capitan|2023-02-20 19:40:59|2023-02-20 19:41:48|37.731081|-119.627161|0.0|None|None|None|None|rock fall|None|None|None|None|1595.0|None|None|None|None|None|450.0|None|None|250.0|None|None|340.0|None|None|None|None|None|None|None|None|None|4|0|None|None|198.0|1|None|None|0.0|None|None|None|None|IRIS, NCEDC, SCEDC|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
699|300|291|Location coordinates, L, H, and H_freefall taken from Collins (pers. comm., 2023). Volume estimated by Brian Collins and Skye Corbett using terrestrial lidar from 15 May 2022 and 21 Feb 2023. L represents the approximate horizontal runout distance from the source area to the majority of the debris. The horizontal runout from the source area to the farthest piece of debris, commonly referred to as "flyrock," is 500 m (Collins, pers. comm., 2023).|None|None|None
700|300|292|A video of the rockfall was posted to Twitter by Alex Wood: https://twitter.com/al3xjw/status/1627822188006100993 (Alex J. Wood, 2023).|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1549|300|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/300_ElCapitan_20Feb2023/photos_figures/300_ElCapitan_20Feb2023_waveforms_raw.png|None
1550|300|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/300_ElCapitan_20Feb2023/photos_figures/300_ElCapitan_20Feb2023_waveforms_1-5Hz.png|None
1551|300|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/300_ElCapitan_20Feb2023/photos_figures/300_ElCapitan_20Feb2023_spectrogram.png|None
