# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
171178|182|20830|83.926|213.85|33.43|None|None|None|None|None
171179|182|20831|83.926|213.85|33.43|None|None|None|None|None
171180|182|20832|83.926|213.85|33.43|None|None|None|None|None
171181|182|20779|82.094|282.99|102.26|None|None|None|None|None
171182|182|20780|82.094|282.99|102.26|None|None|None|None|None
171183|182|20781|82.094|282.99|102.26|None|None|None|None|None
171184|182|23061|81.756|281.83|101.1|None|None|None|None|None
171185|182|23062|81.756|281.83|101.1|None|None|None|None|None
171186|182|20787|81.756|281.83|101.1|None|None|None|None|None
171187|182|20788|83.959|292.65|111.94|None|None|None|None|None
171188|182|20789|83.959|292.65|111.94|None|None|None|None|None
171189|182|20790|83.959|292.65|111.94|None|None|None|None|None
171190|182|23091|50.059|54.12|234.49|None|None|None|None|None
171191|182|23092|50.059|54.12|234.49|None|None|None|None|None
171192|182|23093|50.059|54.12|234.49|None|None|None|None|None
171193|182|20794|85.396|61.09|241.77|None|None|None|None|None
171194|182|20795|85.396|61.09|241.77|None|None|None|None|None
171195|182|20796|85.396|61.09|241.77|None|None|None|None|None
171196|182|20803|77.648|278.5|97.8|None|None|None|None|None
171197|182|20804|77.648|278.5|97.8|None|None|None|None|None
171198|182|20805|77.648|278.5|97.8|None|None|None|None|None
171199|182|23100|80.869|282.83|102.11|None|None|None|None|None
171200|182|23101|80.869|282.83|102.11|None|None|None|None|None
171201|182|23104|81.048|282.68|101.96|None|None|None|None|None
171202|182|20806|80.9|283.62|102.9|None|None|None|None|None
171203|182|20807|80.9|283.62|102.9|None|None|None|None|None
171204|182|20808|80.9|283.62|102.9|None|None|None|None|None
171205|182|23105|81.349|279.72|98.99|None|None|None|None|None
171206|182|23106|81.349|279.72|98.99|None|None|None|None|None
171207|182|23107|81.349|279.72|98.99|None|None|None|None|None
171208|182|23108|81.349|279.72|98.99|None|None|None|None|None
171209|182|23109|81.349|279.72|98.99|None|None|None|None|None
171210|182|20812|71.496|294.14|113.54|None|None|None|None|None
171211|182|20813|71.496|294.14|113.54|None|None|None|None|None
171212|182|20814|71.496|294.14|113.54|None|None|None|None|None
171213|182|20818|81.845|283.53|102.8|None|None|None|None|None
171214|182|20819|81.845|283.53|102.8|None|None|None|None|None
171215|182|20820|81.845|283.53|102.8|None|None|None|None|None
171216|182|113|95.83|335.76|155.4|None|None|None|None|None
171217|182|114|95.83|335.76|155.4|None|None|None|None|None
171218|182|115|95.83|335.76|155.4|None|None|None|None|None
171219|182|552|99.608|280.28|99.39|None|None|None|None|None
171220|182|3292|61.399|14.66|194.8|None|None|None|None|None
171221|182|3293|61.399|14.66|194.8|None|None|None|None|None
171222|182|3294|61.399|14.66|194.8|None|None|None|None|None
171223|182|19382|61.399|14.66|194.8|None|None|None|None|None
171224|182|19383|61.399|14.66|194.8|None|None|None|None|None
171225|182|19384|61.399|14.66|194.8|None|None|None|None|None
171226|182|128|89.216|2.89|182.93|None|None|None|None|None
171227|182|8390|84.967|209.41|29.04|None|None|None|None|None
171228|182|8391|84.967|209.41|29.04|None|None|None|None|None
171229|182|8392|84.967|209.41|29.04|None|None|None|None|None
171230|182|351|77.737|181.75|1.73|None|None|None|None|None
171231|182|129|90.288|340.68|160.41|None|None|None|None|None
171232|182|19499|64.3|252.07|71.52|None|None|None|None|None
171233|182|19500|64.3|252.07|71.52|None|None|None|None|None
