Event_OriginTime,Network,Station,Channel,Location,Sampling_Rate,NPTS,FilePath,Spec2VecProcessed
2025-12-08T14:15:10.000000Z,JP,JKA,BHZ,,20.0,25941,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/jp_jka_bhz_2025_12_08_14_15_10.sac,True
2026-04-20T07:52:58.000000Z,JP,JKA,BHZ,,20.0,26161,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/jp_jka_bhz_2026_04_20_07_52_58.sac,True
2025-12-08T14:15:10.000000Z,JP,JSD,BHZ,,20.0,36001,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/jp_jsd_bhz_2025_12_08_14_15_10.sac,True
2026-04-20T07:52:58.000000Z,JP,JSD,BHZ,,20.0,26181,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/jp_jsd_bhz_2026_04_20_07_52_58.sac,True
2024-01-01T07:10:09.000000Z,JP,JTM,BHZ,,20.0,26241,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/jp_jtm_bhz_2024_01_01_07_10_09.sac,True
2026-04-20T07:52:58.000000Z,JP,JTM,BHZ,,20.0,25621,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/jp_jtm_bhz_2026_04_20_07_52_58.sac,True
2015-12-07T07:50:05.000000Z,KN,TKM2,BHZ,,40.0,52761,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/kn_tkm2_bhz_2015_12_07_07_50_05.sac,True
2024-01-22T18:09:04.000000Z,KR,BOOM,BHZ,,50.0,64501,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/kr_boom_bhz_2024_01_22_18_09_04.sac,True
2015-12-07T07:50:05.000000Z,KR,BTK,BHZ,,40.0,51601,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/kr_btk_bhz_2015_12_07_07_50_05.sac,True
2015-12-07T07:50:05.000000Z,KR,DRK,BHZ,,40.0,51161,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/kr_drk_bhz_2015_12_07_07_50_05.sac,True
2024-01-22T18:09:04.000000Z,KZ,PDGK,BHZ,,40.0,51481,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/kr_pdgk_bhz_2024_01_22_18_09_04.sac,True
2024-01-22T18:09:04.000000Z,KR,PRZ,BHZ,,50.0,63851,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/kr_prz_bhz_2024_01_22_18_09_04.sac,True
2024-01-01T07:10:09.000000Z,PS,INU,BHZ,,20.0,25760,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/ps_inu_bhz_2024_01_01_07_10_09.sac,True
2023-04-02T18:04:11.000000Z,PS,JAY,BHZ,,20.0,25920,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/ps_jay_bhz_2023_04_02_18_04_11.sac,True
2010-04-04T22:40:43.000000Z,TA,113A,BHZ,,40.0,51161,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/ta_113a_bhz_2010_04_04_22_40_43.sac,True
2010-04-04T22:40:43.000000Z,TA,X16A,BHZ,,40.0,52281,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/ta_x16a_bhz_2010_04_04_22_40_43.sac,True
2010-04-04T22:40:43.000000Z,TA,Y12C,BHZ,,40.0,51280,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/ta_y12c_bhz_2010_04_04_22_40_43.sac,True
2010-04-04T22:40:43.000000Z,TA,Z14A,BHZ,,40.0,51561,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/ta_z14a_bhz_2010_04_04_22_40_43.sac,True
2019-07-06T03:19:53.000000Z,YB,MOJJ,BHZ,0.0,50.0,64150,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/yb_mojj_bhz_2019_07_06_03_19_53.sac,True
2019-07-06T03:19:53.000000Z,YB,MOJK,BHZ,0.0,50.0,64150,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/yb_mojk_bhz_2019_07_06_03_19_53.sac,True
2019-07-06T03:19:53.000000Z,YB,MOJM,BHZ,0.0,50.0,64151,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/yb_mojm_bhz_2019_07_06_03_19_53.sac,True
2019-07-06T03:19:53.000000Z,YB,MOJP,BHZ,0.0,50.0,64200,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/yb_mojp_bhz_2019_07_06_03_19_53.sac,True
2018-09-28T10:02:43.000000Z,YC,SBA8,BHZ,,50.0,65901,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/yc_sba8_bhz_2018_09_28_10_02_43.sac,True
2018-09-28T10:02:43.000000Z,YC,SBA9,BHZ,,50.0,65801,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/yc_sba9_bhz_2018_09_28_10_02_43.sac,True
